FileName	ARTIST	TITLE	Release Year	Rolling Stone Rank	RS 5x20 subset	Lyric subset	YoutubeLink
DerekAndTheDominos_Layla_1970	Derek and the Dominos	Layla	1970	27	TRUE	TRUE	https://www.youtube.com/watch?v=uSquiIVLhrQ
TheBeatles_LetItBe_1970	The Beatles	Let It Be	1970	20	TRUE	TRUE	https://www.youtube.com/watch?v=nt9uBlRuBPw
MarvinGaye_LetsGetItOn_1973	Marvin Gaye	Let's Get It On	1973	167	FALSE	FALSE	https://www.youtube.com/watch?v=CoOXbP7hmc0
AlGreen_LetsStayTogether_1971	Al Green	Let's Stay Together	1971	60	TRUE	TRUE	https://www.youtube.com/watch?v=COiIC3A0ROM
TheDoors_LightMyFire_1967	The Doors	Light My Fire	1967	35	FALSE	FALSE	https://www.youtube.com/watch?v=EqcMAz7xQ5g
BobDylan_LikeARollingStone_1965	Bob Dylan	Like a Rolling Stone	1965	1	TRUE	TRUE	https://www.youtube.com/watch?v=IwOfCgkyEj0
Prince_LittleRedCorvette_1983	Prince	Little Red Corvette	1983	108	TRUE	TRUE	https://www.youtube.com/watch?v=v0KpfrJE4zw
StevieWonder_LivingForTheCity_1973	Stevie Wonder	Living for the City	1973	104	TRUE	FALSE	https://www.youtube.com/watch?v=rc0XEw4m-3w
TheClash_LondonCalling_1980	The Clash	London Calling	1980	15	TRUE	FALSE	https://www.youtube.com/watch?v=EfK-WX2pa8c
LittleRichard_LongTallSally_1956	Little Richard	Long Tall Sally	1956	56	TRUE	TRUE	https://www.youtube.com/watch?v=2OfhmVmhL7s
Eminem_LoseYourself_2002	Eminem	Lose Yourself	2002	166	FALSE	FALSE	https://www.youtube.com/watch?v=_Yhyp-HX2s
Beck_Loser_1993	Beck	Loser	1993	200	TRUE	TRUE	https://www.youtube.com/watch?v=YgSPaXgAdzE
REM_LosingMyReligion_1991	R.E.M.	Losing My Religion	1991	169	TRUE	TRUE	https://www.youtube.com/watch?v=xwtdhWltSIg
TheKingsmen_LouieLouie_1963	The Kingsmen	Louie Louie	1963	55	FALSE	FALSE	https://www.youtube.com/watch?v=LE07SMZtmJ4
AlGreen_LoveAndHappiness_1972	Al Green	Love and Happiness	1972	98	TRUE	FALSE	https://www.youtube.com/watch?v=rqqAnjY2Rmo
JoyDivision_LoveWillTearUsApart_1980	Joy Division	Love Will Tear Us Apart	1980	179	TRUE	TRUE	https://www.youtube.com/watch?v=zuuObGsB0No
IggyPop_LustForLife_1977	Iggy Pop	Lust for Life	1977	147	FALSE	FALSE	https://www.youtube.com/watch?v=Y2D4S1K8HWI
RodStewart_MaggieMay_1971	Rod Stewart	Maggie May	1971	130	FALSE	FALSE	https://www.youtube.com/watch?v=EOl7dh7a-6g
ChuckBerry_Maybellene_1955	Chuck Berry	Maybellene	1955	18	TRUE	TRUE	https://www.youtube.com/watch?v=NIb-Q2xyHcc
JanisJoplin_MeAndBobbyMcGee_1971	Janis Joplin	Me and Bobby McGee	1971	148	FALSE	FALSE	https://www.youtube.com/watch?v=sfjon-ZTqzU
BobDylan_MrTambourineMan_1965	Bob Dylan	Mr. Tambourine Man	1965	106	FALSE	FALSE	https://www.youtube.com/watch?v=oecX_1pqxk0
TheByrds_MrTambourineMan_1965	The Byrds	Mr. Tambourine Man	1965	79	FALSE	FALSE	https://www.youtube.com/watch?v=f7eJSdpMEnI
TheWho_MyGeneration_1965	The Who	My Generation	1965	11	TRUE	TRUE	https://www.youtube.com/watch?v=lJW_2wLt704
TheTemptations_MyGirl_1964	The Temptations	My Girl	1964	88	FALSE	FALSE	https://www.youtube.com/watch?v=e4oasdg8JZ4
